File,Feature,Trend_Score,Absolute_Trend,Direction
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,DstWin,0.006599744651166879,0.006599744651166879,Upward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,dMeanPktSz,-0.006253496625532852,0.006253496625532852,Downward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,DstBytes,0.005008638963130044,0.005008638963130044,Upward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,SrcRate,-0.003729340815747326,0.003729340815747326,Downward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,SrcPkts,0.003276931129102907,0.003276931129102907,Upward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,SynAck,-0.0031036737339109255,0.0031036737339109255,Downward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,DstLoss,-0.0025483936473317255,0.0025483936473317255,Downward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,DstPkts,0.002025997623056293,0.002025997623056293,Upward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,TotPkts,0.0020008783770044925,0.0020008783770044925,Upward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,Loss,-0.00120142439651169,0.00120142439651169,Downward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,Rate,-0.0010670191798766847,0.0010670191798766847,Downward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,sTtl,0.0005175196295277021,0.0005175196295277021,Upward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,SrcLoss,-0.0005028688704736092,0.0005028688704736092,Downward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,DstGap,-0.00014500003086015504,0.00014500003086015504,Downward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,SrcGap,-1.8617624573665859e-06,1.8617624573665859e-06,Downward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,DstRetra,0.0,0.0,Neutral
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,StdDev,0.0,0.0,Neutral
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,PCRatio,0.0,0.0,Neutral
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,pRetran,0.0,0.0,Neutral
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,SrcRetra,0.0,0.0,Neutral
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,dTtl,0.0,0.0,Neutral
